symbol,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比,發行股數,次日漲停價,次日跌停價,每股股利,股利年度,殖利率(%),股價淨值比
1316,上曜,11321063.0,4495.0,225449649.0,20.0,20.15,19.6,19.6,-,0.25,19.60,121,19.65,7,0.0,,,,,,,
1319,東陽,16337956.0,13098.0,1984241111.0,123.5,126.0,119.0,121.5,-,5.0,121.00,10,121.50,128,23.82,,,,,,,
1321,大洋,364012.0,164.0,12762522.0,35.2,35.4,34.95,35.0,-,0.2,35.00,13,35.05,13,39.77,,,,,,,
1323,永裕,51254.0,102.0,1587534.0,30.95,31.0,30.95,31.0,,0.0,30.95,1,31.05,10,33.33,,,,,,,
1324,地球,130855.0,317.0,2006289.0,15.55,15.55,15.25,15.25,-,0.3,15.25,2,15.30,2,28.77,,,,,,,
1325,恆大,724289.0,576.0,21793293.0,30.15,30.45,29.85,30.0,-,0.25,29.95,13,30.00,5,142.86,,,,,,,
1326,台化,9293148.0,6468.0,499300344.0,54.6,54.7,53.5,53.7,-,1.0,53.70,37,53.80,57,36.78,,,,,,,
1336,台翰,240000.0,107.0,4899950.0,20.6,20.65,20.15,20.2,,-0.4,20.20,5,20.30,9,14.53,78818419,22.2,18.2,0.41,112.0,2.03,0.9
1337,再生-KY,431173.0,481.0,3066972.0,7.2,7.2,7.08,7.08,-,0.09,7.08,39,7.09,3,0.0,,,,,,,
1338,廣華-KY,120132.0,210.0,4214173.0,35.5,35.5,34.95,35.15,-,0.2,35.05,3,35.15,1,0.0,,,,,,,
1339,昭輝,819854.0,971.0,58436561.0,72.9,73.5,69.7,71.1,-,1.8,71.00,14,71.10,3,12.09,,,,,,,
1340,勝悅-KY,238740.0,666.0,2386531.0,10.1,10.1,9.95,9.95,-,0.15,9.95,8,9.96,1,0.0,,,,,,,
1341,富林-KY,22274.0,43.0,1447503.0,64.5,65.0,64.5,64.8,+,0.3,64.60,1,65.00,3,14.56,,,,,,,
1342,八貫,1248607.0,1150.0,173574172.0,139.0,140.5,137.0,140.0,+,1.0,140.00,10,140.50,23,18.84,,,,,,,
1402,遠東新,4455174.0,2383.0,141975247.0,31.7,32.05,31.7,31.8,+,0.1,31.80,72,31.85,37,20.65,,,,,,,
1409,新纖,4499207.0,1433.0,70937755.0,16.0,16.0,15.7,15.75,-,0.2,15.75,16,15.80,84,33.51,,,,,,,
1410,南染,219942.0,296.0,7850831.0,36.15,36.2,35.5,35.8,-,0.45,35.80,4,35.90,2,59.67,,,,,,,
1413,宏洲,35487.0,28.0,320599.0,9.02,9.08,9.01,9.08,-,0.02,9.08,1,9.09,1,0.0,,,,,,,
1414,東和,411964.0,400.0,7545031.0,18.4,18.7,18.1,18.5,+,0.15,18.45,1,18.50,3,123.33,,,,,,,
1416,廣豐,908416.0,466.0,10821440.0,12.0,12.0,11.85,11.9,,0.0,11.90,48,11.95,8,23.33,,,,,,,
1417,嘉裕,571777.0,1352.0,6412319.0,11.35,11.35,11.1,11.3,-,0.05,11.25,1,11.30,22,0.0,,,,,,,
1418,東華,34030.0,57.0,1081914.0,31.65,32.0,31.6,32.0,,0.0,31.90,1,32.00,1,43.24,,,,,,,
1419,新紡,34112.0,65.0,1531890.0,44.7,45.4,44.7,44.85,-,0.15,44.85,2,44.90,1,20.67,,,,,,,
1423,利華,71990.0,179.0,2229182.0,30.95,31.1,30.9,31.0,+,0.05,31.00,1,31.10,1,43.66,,,,,,,
1432,大魯閣,1082479.0,2598.0,20674965.0,19.35,19.35,18.9,19.2,-,0.1,19.20,15,19.25,4,28.66,,,,,,,
1434,福懋,2123163.0,2473.0,46925531.0,22.3,22.4,22.05,22.05,-,0.25,22.05,123,22.10,80,84.81,,,,,,,
1435,中福,9295.0,634.0,459978.0,49.0,50.0,49.0,49.0,+,0.45,49.00,2,51.00,1,0.0,,,,,,,
1436,華友聯,250290.0,247.0,26525680.0,104.5,107.0,104.5,107.0,+,2.5,106.00,7,107.00,6,11.28,,,,,,,
1437,勤益控,150169.0,117.0,4733461.0,31.6,31.6,31.4,31.45,-,0.15,31.45,1,31.50,1,11.15,,,,,,,
1438,三地開發,106061.0,98.0,4567421.0,43.2,43.4,42.9,43.35,+,0.15,43.25,9,43.40,1,0.0,,,,,,,
1439,雋揚,99879.0,93.0,2512528.0,25.35,25.75,24.75,25.2,+,0.25,25.15,2,25.20,1,12.6,,,,,,,
1440,南紡,1455773.0,744.0,21847765.0,15.05,15.1,14.9,15.05,-,0.05,15.00,11,15.05,77,11.85,,,,,,,
1441,大東,17145.0,150.0,231582.0,13.5,13.55,13.4,13.55,-,0.05,13.40,3,13.55,1,0.0,,,,,,,
1442,名軒,3357097.0,2540.0,141732900.0,41.05,43.0,41.05,42.85,+,2.1,42.80,16,42.85,9,9.1,,,,,,,
1443,立益物流,5061.0,18.0,143367.0,28.3,28.35,28.3,28.3,,0.0,28.30,3,28.40,1,21.94,,,,,,,
1444,力麗,3590446.0,1669.0,32791020.0,9.25,9.25,9.06,9.17,-,0.09,9.17,21,9.18,38,0.0,,,,,,,
1445,大宇,1168060.0,621.0,25518979.0,21.55,22.15,21.45,21.8,+,0.5,21.80,9,21.85,10,2.82,,,,,,,
1446,宏和,231809.0,150.0,7736908.0,33.3,33.75,33.05,33.5,+,0.2,33.50,10,33.60,1,0.0,,,,,,,
1447,力鵬,2596580.0,807.0,20484858.0,7.92,7.97,7.81,7.94,+,0.02,7.94,21,7.95,28,0.0,,,,,,,
1449,佳和,514570.0,369.0,9714401.0,18.7,19.2,18.65,18.85,+,0.15,18.80,9,18.85,3,31.42,,,,,,,
1451,年興,70895.0,121.0,1344619.0,18.9,19.1,18.9,19.0,,0.0,18.90,28,19.00,33,0.0,,,,,,,
1452,宏益,37444.0,99.0,615355.0,16.45,16.5,16.4,16.4,-,0.05,16.35,4,16.40,1,42.05,,,,,,,
1453,大將,257140.0,404.0,3790749.0,14.85,15.1,14.6,14.65,-,0.3,14.60,34,14.65,1,25.7,,,,,,,
1454,台富,69269.0,55.0,1084479.0,15.75,16.3,15.35,16.2,+,0.25,16.00,2,16.20,1,101.25,,,,,,,
1455,集盛,3839835.0,1389.0,55443267.0,14.45,14.75,14.2,14.35,,0.0,14.35,46,14.40,38,0.0,,,,,,,
1456,怡華,222439.0,130.0,4377853.0,19.65,19.85,19.55,19.55,-,0.25,19.55,7,19.65,2,391.0,,,,,,,
1457,宜進,822075.0,381.0,16528674.0,20.15,20.2,20.0,20.15,+,0.05,20.10,5,20.15,29,7.9,,,,,,,
1459,聯發,88320.0,109.0,839123.0,9.55,9.6,9.45,9.46,-,0.04,9.46,11,9.49,6,135.14,,,,,,,
1460,宏遠,1620154.0,517.0,12686666.0,7.7,7.9,7.68,7.86,+,0.11,7.85,2,7.86,1,0.0,,,,,,,
1463,強盛,355088.0,171.0,6332703.0,17.45,18.1,17.45,17.9,+,0.5,17.90,1,18.00,10,27.54,,,,,,,
1464,得力,362213.0,356.0,4689383.0,13.0,13.0,12.9,12.9,-,0.1,12.90,128,12.95,28,99.23,,,,,,,
1465,偉全,138296.0,102.0,2086896.0,15.2,15.25,14.95,15.1,,0.0,15.05,1,15.10,26,26.96,,,,,,,
1466,聚隆,769550.0,458.0,10773246.0,14.45,14.55,13.45,13.45,-,0.65,13.45,12,13.50,7,0.0,,,,,,,
1467,南緯,589256.0,267.0,6483606.0,11.1,11.1,10.9,11.0,-,0.15,11.00,122,11.05,19,0.0,,,,,,,
1468,昶和,75160.0,72.0,1067065.0,14.5,14.65,13.6,13.95,-,0.7,13.90,1,13.95,1,82.06,,,,,,,
1470,大統新創,114.0,13.0,2381.0,,,,,,0.0,20.50,1,20.70,1,35.6,,,,,,,
1471,首利,1077833.0,643.0,17774479.0,16.7,16.7,16.4,16.45,-,0.2,16.45,8,16.50,13,0.0,,,,,,,
1472,三洋實業,126530.0,189.0,9670183.0,75.1,77.6,75.1,77.1,+,2.5,76.70,2,77.50,10,23.08,,,,,,,
1473,台南,629489.0,346.0,20165104.0,31.95,32.35,31.65,32.05,+,0.25,32.00,3,32.05,2,15.05,,,,,,,
